causality_from,aesfdrk,happy,health,sclmeet,stfdem,stfedu,stfhlth,stflife,trstlgl,trstplc,trstplt,isco08
trstplt,,0.034546019,,,,,,,0.001376071,0.005088996,,
trstprl,,,,0.044710162,,,,,0.045382475,0.001064433,,
trstprt,,,5.67E-05,0.003053855,,,,,,,,
trstun,,,0.04386586,,,0.03414291,,0.010620585,0.002316953,0.018672112,,
uemp12m,0.008204694,,,,,,,0.047304245,,,,
uemp3m,0.047680258,0.000611639,0.005484037,0.010999326,0.008782733,,,,,,,
uemp5yr,,0.005584842,0.040392729,0.000910494,0.027460109,0.043046075,,,,,,
uempla,,0.009187064,,0.020950408,0.014106031,0.046771645,,,,,,
uemplap,0.018073255,,,,,0.026322816,,0.005419809,,0.012589021,0.001556947,
uempli,,0.002092042,0.04739232,,0.003183416,,0.021501982,,,,,
uemplip,,,,,0.020443966,,0.014734996,0.039061501,,,,
wkdcorga,,0.000742388,0.002371732,0.029783552,5.75E-05,0.017333822,,,,,,
wkhct,,,,,,,,,,,,
wkhtot,,,,,,,,,,,,
wkhtotp,,,,,,,,,,,,
wrkac6m,,,,,,,,,,0.03917466,,
wrkctra,,0.005310686,0.000342216,,5.54E-06,,,,,,,
